timeseries,Battery_Storage,Cogen_Power_Plant,Rooftop_PV-0
203008,0,226.286,9.50749
203009,0,11.4471,8.51334
203009,2.68948,268.578,7.4669
203009,0,48.4986,6.59958
203010,0,56.0208,5.9138
203010,0,62.5513,4.6831
203010,0,250.06,7.21629
203011,0,212.24,5.20377
203011,0,0.83228,6.6311
203011,0,55.2009,3.75389
203012,0,249.668,6.04746
203012,0,0,5.94463
203012,0,16.5979,5.42904
203101,0,142.397,6.02194
203102,0,88.5653,2.36694
203103,0,12.1709,4.41674
203104,0,153.412,7.21149
203105,0,135.816,6.7784
203106,0,108.063,8.66958
203107,0,125.052,7.96805
203108,0,53.8826,8.51359
203109,0,48.4986,6.59958
203110,0,62.5513,4.6831
203111,0,55.2009,3.75389
203112,0,17.6816,5.94463
203201,0,270.877,6.02194
203202,0,111.782,2.36694
203203,0,75.9537,4.41674
203204,0,174.814,7.21149
203205,0,212.688,6.7784
203206,0,245.895,8.66958
203207,0.135823,295.674,7.96805
203208,0.212899,453.848,8.51359
203209,0.17208,430.89,6.59958
203210,0.18936,430.871,4.6831
203211,0,399.955,3.75389
203212,0,467.88,5.94463
203301,0.455118,277.92,6.02194
203302,0,295.322,2.36694
203303,0.87383,434.587,4.41674
203304,0.458334,270.434,7.21149
203305,0.170648,284.498,6.7784
203306,0.699655,315.107,8.66958
203307,0.740603,535.711,7.96805
203308,0.520425,535.711,8.51359
203309,1.26918,535.711,6.59958
203310,1.33024,535.711,4.6831
203311,0.564039,411.962,3.75389
203312,0.444861,476.556,5.94463
203401,0.758408,535.711,6.02194
203402,0.301164,300.944,2.36694
203403,2.04524,535.711,4.41674
203404,1.48144,535.711,7.21149
203405,0.762232,535.711,6.7784
203406,0.97666,535.711,8.66958
203407,0.670106,535.711,7.96805
203408,0.488177,535.711,8.51359
203409,1.00621,535.711,6.59958
203410,0.730746,535.711,4.6831
203411,0.604008,535.711,3.75389
203412,0.480141,535.711,5.94463
203501,0,26.2887,0
203501,0,293.475,0
203501,0,228.126,0
203502,0,27.9315,0
203502,0,295.968,0
203502,0,224.637,0
203503,0,303.443,0
203503,0,88.4301,0
203503,0,5.92203,0
203504,0,175.554,0
203504,0,310.722,0
203504,0,341.951,0
203505,0,345.867,0
203505,0,184.194,0
203505,0,296.479,0
203506,0,297.844,0
203506,0,265.747,0
203506,0,239.101,0
203507,0,282.273,0
203507,0,83.0401,0
203507,0,349.413,0
203508,0,137.475,0
203508,0,190.744,0
203508,0,417.912,0
203509,0,177.291,0
203509,2.32454,462.792,0
203509,0,234.008,0
203510,0,217.627,0
203510,0,252.245,0
203510,0,445.727,0
203511,0,397.475,0
203511,0,123.642,0
203511,0,215.883,0
203512,0,441.831,0
203512,0,139.692,0
203512,0,144.486,0
203601,0,293.475,0
203602,0,224.637,0
203603,0,88.4301,0
203604,0,310.722,0
203605,0,296.479,0
203606,0,265.747,0
203607,0,282.273,0
203608,0,190.744,0
203609,0,234.008,0
203610,0,252.245,0
203611,0,215.883,0
203612,0,139.692,0
203701,0,293.475,0
203702,0,224.637,0
203703,0,88.4301,0
203704,0,310.722,0
203705,0,296.479,0
203706,0,265.747,0
203707,0,282.273,0
203708,0,190.744,0
203709,0,234.008,0
203710,0,252.245,0
203711,0,215.883,0
203712,0,139.692,0
203801,0,293.475,0
203802,0,224.637,0
203803,0,88.4301,0
203804,0,310.722,0
203805,0,296.479,0
203806,0,265.747,0
203807,0,282.273,0
203808,0,190.744,0
203809,0,234.008,0
203810,0,252.245,0
203811,0,215.883,0
203812,0,139.692,0
203901,0,319.378,0
203902,0,224.637,0
203903,0,90.7176,0
203904,0,310.722,0
203905,0,296.479,0
203906,0,509.243,0
203907,0.30384,511.867,0
203908,0.52128,671.16,0
203909,0.56376,669.936,0
203910,0.27,661.6,0
203911,0,620.016,0
203912,0.00144,693.702,0
