TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period,ts_month
20320212,2030,0.25,96,30.41667,203202
20320327,2030,0.25,96,30.41667,203203
20320411,2030,0.25,96,30.41667,203204
20320531,2030,0.25,96,30.41667,203205
20320614,2030,0.25,96,30.41667,203206
20320711,2030,0.25,96,30.41667,203207
20320824,2030,0.25,96,30.41667,203208
20320929,2030,0.25,96,30.41667,203209
20321027,2030,0.25,96,30.41667,203210
20321129,2030,0.25,96,30.41667,203211
20321222,2030,0.25,96,30.41667,203212
20330109,2030,0.25,96,30.41667,203301
20330212,2030,0.25,96,30.41667,203302
20330327,2030,0.25,96,30.41667,203303
20330411,2030,0.25,96,30.41667,203304
20330531,2030,0.25,96,30.41667,203305
20330614,2030,0.25,96,30.41667,203306
20330711,2030,0.25,96,30.41667,203307
20330824,2030,0.25,96,30.41667,203308
20330929,2030,0.25,96,30.41667,203309
20331027,2030,0.25,96,30.41667,203310
20331129,2030,0.25,96,30.41667,203311
20331222,2030,0.25,96,30.41667,203312
20340109,2030,0.25,96,30.41667,203401
20340212,2030,0.25,96,30.41667,203402
20340327,2030,0.25,96,30.41667,203403
20340411,2030,0.25,96,30.41667,203404
20340531,2030,0.25,96,30.41667,203405
20340614,2030,0.25,96,30.41667,203406
20340711,2030,0.25,96,30.41667,203407
20340824,2030,0.25,96,30.41667,203408
20340929,2030,0.25,96,30.41667,203409
20341027,2030,0.25,96,30.41667,203410
20341129,2030,0.25,96,30.41667,203411
20341222,2030,0.25,96,30.41667,203412
20350105,2035,0.25,96,10.13889,203501
20350109,2035,0.25,96,10.13889,203501
20350116,2035,0.25,96,10.13889,203501
20350203,2035,0.25,96,10.13889,203502
20350207,2035,0.25,96,10.13889,203502
20350212,2035,0.25,96,10.13889,203502
20350321,2035,0.25,96,10.13889,203503
20350327,2035,0.25,96,10.13889,203503
20350331,2035,0.25,96,10.13889,203503
20350401,2035,0.25,96,10.13889,203504
20350411,2035,0.25,96,10.13889,203504
20350422,2035,0.25,96,10.13889,203504
20350501,2035,0.25,96,10.13889,203505
20350521,2035,0.25,96,10.13889,203505
20350531,2035,0.25,96,10.13889,203505
20350612,2035,0.25,96,10.13889,203506
20350614,2035,0.25,96,10.13889,203506
20350628,2035,0.25,96,10.13889,203506
20350711,2035,0.25,96,10.13889,203507
20350714,2035,0.25,96,10.13889,203507
20350730,2035,0.25,96,10.13889,203507
20350818,2035,0.25,96,10.13889,203508
20350824,2035,0.25,96,10.13889,203508
20350829,2035,0.25,96,10.13889,203508
20350901,2035,0.25,96,10.13889,203509
20350911,2035,0.25,96,10.13889,203509
20350929,2035,0.25,96,10.13889,203509
20351019,2035,0.25,96,10.13889,203510
20351027,2035,0.25,96,10.13889,203510
20351031,2035,0.25,96,10.13889,203510
20351106,2035,0.25,96,10.13889,203511
20351124,2035,0.25,96,10.13889,203511
20351129,2035,0.25,96,10.13889,203511
20351209,2035,0.25,96,10.13889,203512
20351222,2035,0.25,96,10.13889,203512
20351230,2035,0.25,96,10.13889,203512
20360109,2035,0.25,96,30.41667,203601
20360212,2035,0.25,96,30.41667,203602
20360327,2035,0.25,96,30.41667,203603
20360411,2035,0.25,96,30.41667,203604
20360531,2035,0.25,96,30.41667,203605
20360614,2035,0.25,96,30.41667,203606
20360711,2035,0.25,96,30.41667,203607
20360824,2035,0.25,96,30.41667,203608
20360929,2035,0.25,96,30.41667,203609
20361027,2035,0.25,96,30.41667,203610
20361129,2035,0.25,96,30.41667,203611
20361222,2035,0.25,96,30.41667,203612
20370109,2035,0.25,96,30.41667,203701
20370212,2035,0.25,96,30.41667,203702
20370327,2035,0.25,96,30.41667,203703
20370411,2035,0.25,96,30.41667,203704
20370531,2035,0.25,96,30.41667,203705
20370614,2035,0.25,96,30.41667,203706
20370711,2035,0.25,96,30.41667,203707
20370824,2035,0.25,96,30.41667,203708
20370929,2035,0.25,96,30.41667,203709
20371027,2035,0.25,96,30.41667,203710
20371129,2035,0.25,96,30.41667,203711
20371222,2035,0.25,96,30.41667,203712
20380109,2035,0.25,96,30.41667,203801
20380212,2035,0.25,96,30.41667,203802
20380327,2035,0.25,96,30.41667,203803
20380411,2035,0.25,96,30.41667,203804
20380531,2035,0.25,96,30.41667,203805
20380614,2035,0.25,96,30.41667,203806
20380711,2035,0.25,96,30.41667,203807
20380824,2035,0.25,96,30.41667,203808
20380929,2035,0.25,96,30.41667,203809
20381027,2035,0.25,96,30.41667,203810
20381129,2035,0.25,96,30.41667,203811
20381222,2035,0.25,96,30.41667,203812
20390109,2035,0.25,96,30.41667,203901
20390212,2035,0.25,96,30.41667,203902
20390327,2035,0.25,96,30.41667,203903
20390411,2035,0.25,96,30.41667,203904
20390531,2035,0.25,96,30.41667,203905
20390614,2035,0.25,96,30.41667,203906
20390711,2035,0.25,96,30.41667,203907
20390824,2035,0.25,96,30.41667,203908
20390929,2035,0.25,96,30.41667,203909
20391027,2035,0.25,96,30.41667,203910
20391129,2035,0.25,96,30.41667,203911
20391222,2035,0.25,96,30.41667,203912
