Date,predicted_NG_up
2032-02-01,33.21873113800841
2032-02-01,33.21873113800841
2032-03-01,33.21873113800841
2032-03-01,33.21873113800841
2032-04-01,33.21873113800841
2032-04-01,33.21873113800841
2032-05-01,33.21873113800841
2032-05-01,33.21873113800841
2032-06-01,33.21873113800841
2032-06-01,33.21873113800841
2032-07-01,33.21873113800841
2032-07-01,33.21873113800841
2032-08-01,33.21873113800841
2032-08-01,33.21873113800841
2032-09-01,33.21873113800841
2032-09-01,33.21873113800841
2032-10-01,33.21873113800841
2032-10-01,33.21873113800841
2032-11-01,33.21873113800841
2032-11-01,33.21873113800841
2032-12-01,33.21873113800841
2032-12-01,33.21873113800841
2033-01-01,33.21873113800841
2033-01-01,33.21873113800841
2033-02-01,33.21873113800841
2033-02-01,33.21873113800841
2033-03-01,33.21873113800841
