timepoint_id,nonenergy_price
373,57.7
374,57.7
375,57.7
376,57.7
377,57.7
378,57.7
379,57.7
380,57.7
381,57.7
382,57.7
383,57.7
384,57.7
385,57.7
386,57.7
387,57.7
388,57.7
389,57.7
390,57.7
391,57.7
392,57.7
393,57.7
394,57.7
395,57.7
396,57.7
397,57.7
398,57.7
399,57.7
400,57.7
401,57.7
402,57.7
403,57.7
404,57.7
405,57.7
406,57.7
407,57.7
408,57.7
409,57.7
410,57.7
411,57.7
412,57.7
413,57.7
414,57.7
415,57.7
416,57.7
417,57.7
418,57.7
419,57.7
420,57.7
421,57.7
422,57.7
423,57.7
424,57.7
425,57.7
426,57.7
427,57.7
428,57.7
429,57.7
430,57.7
431,57.7
432,57.7
433,57.7
434,57.7
435,57.7
436,57.7
437,57.7
438,57.7
439,57.7
440,57.7
441,57.7
442,57.7
443,57.7
444,57.7
445,57.7
446,57.7
447,57.7
448,57.7
449,57.7
450,57.7
451,57.7
452,57.7
453,57.7
454,57.7
455,57.7
456,57.7
457,57.7
458,57.7
459,57.7
460,57.7
461,57.7
462,57.7
463,57.7
464,57.7
465,57.7
466,57.7
467,57.7
468,57.7
469,57.7
470,57.7
471,57.7
472,57.7
473,57.7
474,57.7
475,57.7
476,57.7
477,57.7
478,57.7
479,57.7
480,57.7
481,57.7
482,57.7
483,57.7
484,57.7
485,57.7
486,57.7
487,57.7
488,57.7
489,57.7
490,57.7
491,57.7
492,57.7
493,57.7
494,57.7
495,57.7
496,57.7
497,57.7
498,57.7
499,57.7
500,57.7
501,57.7
502,57.7
503,57.7
504,57.7
505,57.7
506,57.7
507,57.7
508,57.7
509,57.7
510,57.7
511,57.7
512,57.7
513,57.7
514,57.7
515,57.7
516,57.7
517,57.7
518,57.7
519,57.7
520,57.7
521,57.7
522,57.7
523,57.7
524,57.7
525,57.7
526,57.7
527,57.7
528,57.7
529,57.7
530,57.7
531,57.7
532,57.7
533,57.7
534,57.7
535,57.7
536,57.7
537,57.7
538,57.7
539,57.7
540,57.7
541,57.7
542,57.7
543,57.7
544,57.7
545,57.7
546,57.7
547,57.7
548,57.7
549,57.7
550,57.7
551,57.7
552,57.7
553,57.7
554,57.7
555,57.7
556,57.7
557,57.7
558,57.7
559,57.7
560,57.7
561,57.7
562,57.7
563,57.7
564,57.7
565,57.7
566,57.7
567,57.7
568,57.7
569,57.7
570,57.7
571,57.7
572,57.7
573,57.7
574,57.7
575,57.7
576,57.7
577,57.7
578,57.7
579,57.7
580,57.7
581,57.7
582,57.7
583,57.7
584,57.7
585,57.7
586,57.7
587,57.7
588,57.7
589,57.7
590,57.7
591,57.7
592,57.7
593,57.7
594,57.7
595,57.7
596,57.7
597,57.7
598,57.7
599,57.7
600,57.7
601,57.7
602,57.7
603,57.7
604,57.7
605,57.7
606,57.7
607,57.7
608,57.7
609,57.7
610,57.7
611,57.7
612,57.7
613,57.7
614,57.7
615,57.7
616,57.7
617,57.7
618,57.7
619,57.7
620,57.7
621,57.7
622,57.7
623,57.7
624,57.7
625,57.7
626,57.7
627,57.7
628,57.7
629,57.7
630,57.7
631,57.7
632,57.7
633,57.7
634,57.7
635,57.7
636,57.7
637,57.7
638,57.7
639,57.7
640,57.7
641,57.7
642,57.7
643,57.7
644,57.7
645,57.7
646,57.7
647,57.7
648,57.7
649,57.7
650,57.7
651,57.7
652,57.7
653,57.7
654,57.7
655,57.7
656,57.7
657,57.7
658,57.7
659,57.7
660,57.7
661,57.7
662,57.7
663,57.7
664,57.7
665,57.7
666,57.7
667,57.7
668,57.7
669,57.7
670,57.7
671,57.7
672,57.7
673,57.7
674,57.7
675,57.7
676,57.7
677,57.7
678,57.7
679,57.7
680,57.7
681,57.7
682,57.7
683,57.7
684,57.7
685,57.7
686,57.7
687,57.7
688,57.7
689,57.7
690,57.7
691,57.7
692,57.7
693,57.7
694,57.7
695,57.7
696,57.7
697,57.7
698,57.7
699,57.7
700,57.7
701,57.7
702,57.7
703,57.7
704,57.7
705,57.7
706,57.7
707,57.7
708,57.7
709,57.7
710,57.7
711,57.7
712,57.7
713,57.7
714,57.7
715,57.7
716,57.7
717,57.7
718,57.7
719,57.7
720,57.7
721,57.7
722,57.7
723,57.7
724,57.7
725,57.7
726,57.7
727,57.7
728,57.7
729,57.7
730,57.7
731,57.7
732,57.7
733,57.7
734,57.7
735,57.7
736,57.7
737,57.7
738,57.7
739,57.7
740,57.7
741,57.7
742,57.7
743,57.7
744,57.7
745,57.7
746,57.7
747,57.7
748,57.7
749,57.7
750,57.7
751,57.7
752,57.7
753,57.7
754,57.7
755,57.7
756,57.7
757,57.7
758,57.7
759,57.7
760,57.7
761,57.7
762,57.7
763,57.7
764,57.7
765,57.7
766,57.7
767,57.7
768,57.7
769,57.7
770,57.7
771,57.7
772,57.7
773,57.7
774,57.7
775,57.7
776,57.7
777,57.7
778,57.7
779,57.7
780,57.7
781,57.7
782,57.7
783,57.7
784,57.7
785,57.7
786,57.7
787,57.7
788,57.7
789,57.7
790,57.7
791,57.7
792,57.7
793,57.7
794,57.7
795,57.7
796,57.7
797,57.7
798,57.7
799,57.7
800,57.7
801,57.7
802,57.7
803,57.7
804,57.7
805,57.7
806,57.7
807,57.7
808,57.7
809,57.7
810,57.7
811,57.7
812,57.7
813,57.7
814,57.7
815,57.7
816,57.7
817,57.7
818,57.7
819,57.7
820,57.7
821,57.7
822,57.7
823,57.7
824,57.7
825,57.7
826,57.7
827,57.7
828,57.7
829,57.7
830,57.7
831,57.7
832,57.7
833,57.7
834,57.7
835,57.7
836,57.7
837,57.7
838,57.7
839,57.7
840,57.7
841,57.7
842,57.7
843,57.7
844,57.7
845,57.7
846,57.7
847,57.7
848,57.7
849,57.7
850,57.7
851,57.7
852,57.7
853,57.7
854,57.7
855,57.7
856,57.7
857,57.7
858,57.7
859,57.7
860,57.7
861,57.7
862,57.7
863,57.7
864,57.7
865,57.7
866,57.7
867,57.7
868,57.7
869,57.7
870,57.7
871,57.7
872,57.7
873,57.7
874,57.7
875,57.7
876,57.7
877,57.7
878,57.7
879,57.7
880,57.7
881,57.7
882,57.7
883,57.7
884,57.7
885,57.7
886,57.7
887,57.7
888,57.7
889,57.7
890,57.7
891,57.7
892,57.7
893,57.7
894,57.7
895,57.7
896,57.7
897,57.7
898,57.7
899,57.7
900,57.7
901,57.7
902,57.7
903,57.7
904,57.7
905,57.7
906,57.7
907,57.7
908,57.7
909,57.7
910,57.7
911,57.7
912,57.7
913,57.7
914,57.7
915,57.7
916,57.7
917,57.7
918,57.7
919,57.7
920,57.7
921,57.7
922,57.7
923,57.7
924,57.7
925,57.7
926,57.7
927,57.7
928,57.7
929,57.7
930,57.7
931,57.7
932,57.7
933,57.7
934,57.7
935,57.7
936,57.7
937,57.7
938,57.7
939,57.7
940,57.7
941,57.7
942,57.7
943,57.7
944,57.7
945,57.7
946,57.7
947,57.7
948,57.7
949,57.7
950,57.7
951,57.7
952,57.7
953,57.7
954,57.7
955,57.7
956,57.7
957,57.7
958,57.7
959,57.7
960,57.7
961,57.7
962,57.7
963,57.7
964,57.7
965,57.7
966,57.7
967,57.7
968,57.7
969,57.7
970,57.7
971,57.7
972,57.7
973,57.7
974,57.7
975,57.7
976,57.7
977,57.7
978,57.7
979,57.7
980,57.7
981,57.7
982,57.7
983,57.7
984,57.7
985,57.7
986,57.7
987,57.7
988,57.7
989,57.7
990,57.7
991,57.7
992,57.7
993,57.7
994,57.7
995,57.7
996,57.7
997,57.7
998,57.7
999,57.7
1000,57.7
1001,57.7
1002,57.7
1003,57.7
1004,57.7
1005,57.7
1006,57.7
1007,57.7
1008,57.7
1009,57.7
1010,57.7
1011,57.7
1012,57.7
1013,57.7
1014,57.7
1015,57.7
1016,57.7
1017,57.7
1018,57.7
1019,57.7
1020,57.7
1021,57.7
1022,57.7
1023,57.7
1024,57.7
1025,57.7
1026,57.7
1027,57.7
1028,57.7
1029,57.7
1030,57.7
1031,57.7
1032,57.7
1033,57.7
1034,57.7
1035,57.7
1036,57.7
1037,57.7
1038,57.7
1039,57.7
1040,57.7
1041,57.7
1042,57.7
1043,57.7
1044,57.7
1045,57.7
1046,57.7
