YearMonth,year,time,TotalEbill,EnergyCharge,NonEnergyCharge,AmortizedCost,DemandCharges,PPACost
203105,2031,5/1/31,2145125,886805,965360,0,292960,0
203106,2031,6/1/31,2110490,879485,938045,0,292960,0
203107,2031,7/1/31,2162975,917645,952370,0,292960,0
203108,2031,8/1/31,2016305,848695,874650,0,292960,0
203109,2031,9/1/31,2083535,877950,912625,0,292960,0
203110,2031,10/1/31,2117120,894750,929410,0,292960,0
203111,2031,11/1/31,2039495,847260,899275,0,292960,0
203112,2031,12/1/31,1910225,784035,833230,0,292960,0
203201,2032,1/1/32,2172260,883355,995945,0,292960,0
203202,2032,2/1/32,2024275,798695,932620,0,292960,0
203203,2032,3/1/32,1809785,709565,807260,0,292960,0
203204,2032,4/1/32,2184940,879925,1012055,0,292960,0
203205,2032,5/1/32,2175550,880335,1002255,0,292960,0
203206,2032,6/1/32,2139915,873060,973895,0,292960,0
203207,2032,7/1/32,2193610,911880,988770,0,292960,0
203208,2032,8/1/32,2044835,843800,908075,0,292960,0
203209,2032,9/1/32,2112980,872520,947500,0,292960,0
203210,2032,10/1/32,2147145,889255,964930,0,292960,0
203211,2032,11/1/32,2067575,840970,933645,0,292960,0
203212,2032,12/1/32,1936310,778280,865070,0,292960,0
203301,2033,1/1/33,2191110,876745,1021405,0,292960,0
203302,2033,2/1/33,2041180,791760,956460,0,292960,0
203303,2033,3/1/33,1824805,703950,827895,0,292960,0
203304,2033,4/1/33,2204435,873550,1037925,0,292960,0
203305,2033,5/1/33,2194750,873915,1027875,0,292960,0
203306,2033,6/1/33,2158430,866680,998790,0,292960,0
203307,2033,7/1/33,2213165,906160,1014045,0,292960,0
203308,2033,8/1/33,2063190,838940,931290,0,292960,0
203309,2033,9/1/33,2131820,867135,971725,0,292960,0
203310,2033,10/1/33,2166350,883795,989595,0,292960,0
203311,2033,11/1/33,2085200,834730,957510,0,292960,0
203312,2033,12/1/33,1952715,772570,887185,0,292960,0
203401,2034,1/1/34,2216115,870180,1052975,0,292960,0
203402,2034,2/1/34,2063865,784880,986025,0,292960,0
203403,2034,3/1/34,1844815,698375,853480,0,292960,0
203404,2034,4/1/34,2230170,867210,1070000,0,292960,0
203405,2034,5/1/34,2220135,867535,1059640,0,292960,0
203406,2034,6/1/34,2182975,860355,1029660,0,292960,0
203407,2034,7/1/34,2238830,900485,1045385,0,292960,0
203408,2034,8/1/34,2087140,834110,960070,0,292960,0
203409,2034,9/1/34,2156500,861785,1001755,0,292960,0
203410,2034,10/1/34,2191515,878375,1020180,0,292960,0
203411,2034,11/1/34,2108600,828535,987105,0,292960,0
203412,2034,12/1/34,1974465,766900,914605,0,292960,0
203501,2035,1/1/35,2051418.5,769648.5,965585,0,316185,0
203502,2035,2/1/35,2038477,747498,974794,0,316185,0
203503,2035,3/1/35,1961412,725538,919689,0,316185,0
203504,2035,4/1/35,2214810,833122,1065503,0,316185,0
203505,2035,5/1/35,2232799,845765,1070849,0,316185,0
203506,2035,6/1/35,2239068,858212.5,1064670.5,0,316185,0
203507,2035,7/1/35,2219276,864207,1038884,0,316185,0
203508,2035,8/1/35,2247814.5,881516,1050113.5,0,316185,0
203509,2035,9/1/35,2313098,906217.5,1090695.5,0,316185,0
203510,2035,10/1/35,2338511,918190,1104136,0,316185,0
203511,2035,11/1/35,2210735,847630.5,1046919.5,0,316185,0
203512,2035,12/1/35,2202585.5,843548,1042852.5,0,316185,0
203601,2036,1/1/36,2296120,860950,1118985,0,316185,0
203602,2036,2/1/36,2134045,772690,1045170,0,316185,0
203603,2036,3/1/36,1912880,690090,906605,0,316185,0
203604,2036,4/1/36,2313250,859095,1137970,0,316185,0
203605,2036,5/1/36,2301955,859115,1126655,0,316185,0
203606,2036,6/1/36,2265995,853335,1096475,0,316185,0
203607,2036,7/1/36,2323195,894470,1112540,0,316185,0
203608,2036,8/1/36,2169090,830180,1022725,0,316185,0
203609,2036,9/1/36,2236965,855515,1065265,0,316185,0
203610,2036,10/1/36,2270090,870705,1083200,0,316185,0
203611,2036,11/1/36,2182310,818680,1047445,0,316185,0
203612,2036,12/1/36,2048185,759475,972525,0,316185,0
203701,2037,1/1/37,2321360,854480,1150695,0,316185,0
203702,2037,2/1/37,2156910,765940,1074785,0,316185,0
203703,2037,3/1/37,1933100,684620,932295,0,316185,0
203704,2037,4/1/37,2339240,852840,1170215,0,316185,0
203705,2037,5/1/37,2327590,852825,1158580,0,316185,0
203706,2037,6/1/37,2290835,847105,1127545,0,316185,0
203707,2037,7/1/37,2349125,888875,1144065,0,316185,0
203708,2037,8/1/37,2193300,825410,1051705,0,316185,0
203709,2037,9/1/37,2261875,850240,1095450,0,316185,0
203710,2037,10/1/37,2295445,865370,1113890,0,316185,0
203711,2037,11/1/37,2205920,812610,1077125,0,316185,0
203712,2037,12/1/37,2070165,753900,1000080,0,316185,0
203801,2038,1/1/38,2348680,848050,1184445,0,316185,0
203802,2038,2/1/38,2181735,759235,1106315,0,316185,0
203803,2038,3/1/38,1955015,679185,959645,0,316185,0
203804,2038,4/1/38,2367350,846620,1204545,0,316185,0
203805,2038,5/1/38,2355330,846580,1192565,0,316185,0
203806,2038,6/1/38,2317720,840915,1160620,0,316185,0
203807,2038,7/1/38,2377125,883315,1177625,0,316185,0
203808,2038,8/1/38,2219415,820675,1082555,0,316185,0
203809,2038,9/1/38,2288775,845005,1127585,0,316185,0
203810,2038,10/1/38,2322820,860070,1146565,0,316185,0
203811,2038,11/1/38,2231485,806580,1108720,0,316185,0
203812,2038,12/1/38,2093965,748360,1029420,0,316185,0
203901,2039,1/1/39,2376045,841660,1218200,0,316185,0
203902,2039,2/1/39,2206605,752580,1137840,0,316185,0
203903,2039,3/1/39,1976965,673790,986990,0,316185,0
203904,2039,4/1/39,2395495,840440,1238870,0,316185,0
203905,2039,5/1/39,2383105,840370,1226550,0,316185,0
203906,2039,6/1/39,2344650,834770,1193695,0,316185,0
203907,2039,7/1/39,2405165,877795,1211185,0,316185,0
203908,2039,8/1/39,2245550,815960,1113405,0,316185,0
203909,2039,9/1/39,2315705,839800,1159720,0,316185,0
203910,2039,10/1/39,2350225,854800,1179240,0,316185,0
203911,2039,11/1/39,2257090,800590,1140315,0,316185,0
203912,2039,12/1/39,2117805,742865,1058755,0,316185,0
