YearMonth,year,time,TotalEbill,EnergyCharge,NonEnergyCharge,AmortizedCost,DemandCharges,EmissionsCosts,PPACost,FuelCost,CogenPPACost,TotalCredit
202905,2029,2029-05-01,1926209.2464612983,796541.7922127781,921304.4633992912,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202906,2029,2029-06-01,1894264.8836641596,790692.7088346683,895209.1839802624,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202907,2029,2029-07-01,1938120.7037754855,820865.1193040765,908892.59362218,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202908,2029,2029-08-01,1799974.0500765094,756906.66410431,834704.3951229703,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202909,2029,2029-09-01,1864219.627181232,784880.5411300528,870976.0952019503,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202910,2029,2029-10-01,1895495.4061139724,800110.307317235,887022.1079475083,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202911,2029,2029-11-01,1829588.6237020027,762952.6310743899,858273.0017783836,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
202912,2029,2029-12-01,1709551.1587227704,705983.5433895597,795204.6244839816,0.0,353253.3333333333,0.0,0.0,0.0,0.0,144.89034248410422
203001,2030,2030-01-01,1830579.6122208177,698383.0163912164,865465.4457106909,0.0,411366.6666666667,0.0,0.0,0.0,0.0,144.63551654775654
203002,2030,2030-02-01,1822064.4772944176,681432.3685792863,873900.9585962209,0.0,411366.6666666667,0.0,0.0,0.0,0.0,144.63551654775654
203003,2030,2030-03-01,1745753.9894876485,656216.3095145944,822806.5298541437,0.0,411366.6666666667,0.0,0.0,0.0,0.0,144.63551654775654
203004,2030,2030-04-01,1972196.6609334813,750750.5935241783,954714.9172903928,0.0,411366.6666666667,0.0,0.0,0.0,0.0,144.63551654775654
203005,2030,2030-05-01,1986520.5856597328,761769.8014227954,958019.6341180272,0.0,411366.6666666667,0.0,0.0,0.0,0.0,144.63551654775654
203006,2030,2030-06-01,1992413.823078689,773558.2869183053,952124.3860414734,0.0,411366.6666666667,0.0,0.0,0.0,0.0,144.63551654775654
203007,2030,2030-07-01,1969163.382881541,773781.8720431733,928650.3607194575,0.0,411366.6666666667,0.0,0.0,0.0,0.0,144.63551654775654
