COGEN_GEN_TPS_1,COGEN_GEN_TPS_2,CogenCoolingOffset
Cogen_Power_Plant,8346,0.0
Cogen_Power_Plant,8347,0.0
Cogen_Power_Plant,8348,0.0
Cogen_Power_Plant,8349,0.0
Cogen_Power_Plant,8350,0.0
Cogen_Power_Plant,8351,0.0
Cogen_Power_Plant,8352,0.0
Cogen_Power_Plant,8353,0.0
Cogen_Power_Plant,8354,0.0
Cogen_Power_Plant,8355,0.0
Cogen_Power_Plant,8356,0.0
Cogen_Power_Plant,8357,0.0
Cogen_Power_Plant,8358,0.0
Cogen_Power_Plant,8359,0.0
Cogen_Power_Plant,8360,0.0
Cogen_Power_Plant,8361,0.0
Cogen_Power_Plant,8362,0.0
Cogen_Power_Plant,8363,0.0
Cogen_Power_Plant,8364,0.0
Cogen_Power_Plant,8365,0.0
Cogen_Power_Plant,8366,0.0
Cogen_Power_Plant,8367,0.0
Cogen_Power_Plant,8368,0.0
Cogen_Power_Plant,8369,0.0
Cogen_Power_Plant,8370,0.0
Cogen_Power_Plant,8371,0.0
Cogen_Power_Plant,8372,0.0
Cogen_Power_Plant,8373,0.0
Cogen_Power_Plant,8374,0.0
Cogen_Power_Plant,8375,0.0
Cogen_Power_Plant,8376,0.0
Cogen_Power_Plant,8377,0.0
Cogen_Power_Plant,8378,0.0
Cogen_Power_Plant,8379,0.0
Cogen_Power_Plant,8380,0.0
Cogen_Power_Plant,8381,0.0
Cogen_Power_Plant,8382,0.0
Cogen_Power_Plant,8383,0.0
Cogen_Power_Plant,8384,0.0
Cogen_Power_Plant,8385,0.0
Cogen_Power_Plant,8386,0.0
Cogen_Power_Plant,8387,0.0
Cogen_Power_Plant,8388,0.0
Cogen_Power_Plant,8389,0.0
Cogen_Power_Plant,8390,0.0
Cogen_Power_Plant,8391,0.0
Cogen_Power_Plant,8392,0.0
Cogen_Power_Plant,8393,0.0
Cogen_Power_Plant,8394,0.0
Cogen_Power_Plant,8395,0.0
Cogen_Power_Plant,8396,0.0
Cogen_Power_Plant,8397,0.0
Cogen_Power_Plant,8398,0.0
Cogen_Power_Plant,8399,0.0
Cogen_Power_Plant,8400,0.0
Cogen_Power_Plant,8401,0.0
Cogen_Power_Plant,8402,0.0
Cogen_Power_Plant,8403,0.0
Cogen_Power_Plant,8404,0.0
Cogen_Power_Plant,8405,0.0
Cogen_Power_Plant,8406,0.0
Cogen_Power_Plant,8407,0.0
Cogen_Power_Plant,8408,0.0
Cogen_Power_Plant,8409,0.0
Cogen_Power_Plant,8410,0.0
Cogen_Power_Plant,8411,0.0
Cogen_Power_Plant,8412,0.0
Cogen_Power_Plant,8413,0.0
Cogen_Power_Plant,8414,0.0
Cogen_Power_Plant,8415,0.0
Cogen_Power_Plant,8416,0.0
Cogen_Power_Plant,8417,0.0
Cogen_Power_Plant,8418,0.0
Cogen_Power_Plant,8419,0.0
Cogen_Power_Plant,8420,0.0
Cogen_Power_Plant,8421,0.0
Cogen_Power_Plant,8422,0.0
Cogen_Power_Plant,8423,0.0
Cogen_Power_Plant,8424,0.0
Cogen_Power_Plant,8425,0.0
Cogen_Power_Plant,8426,0.0
Cogen_Power_Plant,8427,0.0
Cogen_Power_Plant,8428,0.0
Cogen_Power_Plant,8429,0.0
Cogen_Power_Plant,8430,0.0
Cogen_Power_Plant,8431,0.0
Cogen_Power_Plant,8432,0.0
Cogen_Power_Plant,8433,0.0
Cogen_Power_Plant,8434,0.0
Cogen_Power_Plant,8435,0.0
Cogen_Power_Plant,8436,0.0
Cogen_Power_Plant,8437,0.0
Cogen_Power_Plant,8438,0.0
Cogen_Power_Plant,8439,0.0
Cogen_Power_Plant,8440,0.0
Cogen_Power_Plant,8441,0.0
Cogen_Power_Plant,8442,0.0
Cogen_Power_Plant,8443,0.0
Cogen_Power_Plant,8444,0.0
Cogen_Power_Plant,8445,0.0
Cogen_Power_Plant,8446,0.0
Cogen_Power_Plant,8447,0.0
Cogen_Power_Plant,8448,0.0
Cogen_Power_Plant,8449,0.0
Cogen_Power_Plant,8450,0.0
Cogen_Power_Plant,8451,0.0
Cogen_Power_Plant,8452,0.0
Cogen_Power_Plant,8453,0.0
Cogen_Power_Plant,8454,0.0
Cogen_Power_Plant,8455,0.0
Cogen_Power_Plant,8456,0.0
Cogen_Power_Plant,8457,0.0
Cogen_Power_Plant,8458,0.0
Cogen_Power_Plant,8459,0.0
Cogen_Power_Plant,8460,0.0
Cogen_Power_Plant,8461,0.0
Cogen_Power_Plant,8462,0.0
Cogen_Power_Plant,8463,0.0
Cogen_Power_Plant,8464,0.0
Cogen_Power_Plant,8465,0.0
Cogen_Power_Plant,8466,0.0
Cogen_Power_Plant,8467,0.0
Cogen_Power_Plant,8468,0.0
Cogen_Power_Plant,8469,0.0
Cogen_Power_Plant,8470,0.0
Cogen_Power_Plant,8471,0.0
Cogen_Power_Plant,8472,0.0
Cogen_Power_Plant,8473,0.0
Cogen_Power_Plant,8474,0.0
Cogen_Power_Plant,8475,0.0
Cogen_Power_Plant,8476,0.0
Cogen_Power_Plant,8477,0.0
Cogen_Power_Plant,8478,0.0
Cogen_Power_Plant,8479,0.0
Cogen_Power_Plant,8480,0.0
Cogen_Power_Plant,8481,0.0
Cogen_Power_Plant,8482,0.0
Cogen_Power_Plant,8483,0.0
Cogen_Power_Plant,8484,0.0
Cogen_Power_Plant,8485,0.0
Cogen_Power_Plant,8486,0.0
Cogen_Power_Plant,8487,0.0
Cogen_Power_Plant,8488,0.0
Cogen_Power_Plant,8489,0.0
Cogen_Power_Plant,8490,0.0
Cogen_Power_Plant,8491,0.0
Cogen_Power_Plant,8492,0.0
Cogen_Power_Plant,8493,0.0
Cogen_Power_Plant,8494,0.0
Cogen_Power_Plant,8495,0.0
Cogen_Power_Plant,8496,0.0
Cogen_Power_Plant,8497,0.0
Cogen_Power_Plant,8498,0.0
Cogen_Power_Plant,8499,0.0
Cogen_Power_Plant,8500,0.0
Cogen_Power_Plant,8501,0.0
Cogen_Power_Plant,8502,0.0
Cogen_Power_Plant,8503,0.0
Cogen_Power_Plant,8504,0.0
Cogen_Power_Plant,8505,0.0
Cogen_Power_Plant,8506,0.0
Cogen_Power_Plant,8507,0.0
Cogen_Power_Plant,8508,0.0
Cogen_Power_Plant,8509,0.0
Cogen_Power_Plant,8510,0.0
Cogen_Power_Plant,8511,0.0
Cogen_Power_Plant,8512,0.0
Cogen_Power_Plant,8513,0.0
Cogen_Power_Plant,8514,0.0
Cogen_Power_Plant,8515,0.0
Cogen_Power_Plant,8516,0.0
Cogen_Power_Plant,8517,0.0
Cogen_Power_Plant,8518,0.0
Cogen_Power_Plant,8519,0.0
Cogen_Power_Plant,8520,0.0
Cogen_Power_Plant,8521,0.0
Cogen_Power_Plant,8522,0.0
Cogen_Power_Plant,8523,0.0
Cogen_Power_Plant,8524,0.0
Cogen_Power_Plant,8525,0.0
Cogen_Power_Plant,8526,0.0
Cogen_Power_Plant,8527,0.0
Cogen_Power_Plant,8528,0.0
Cogen_Power_Plant,8529,0.0
Cogen_Power_Plant,8530,0.0
Cogen_Power_Plant,8531,0.0
Cogen_Power_Plant,8532,0.0
Cogen_Power_Plant,8533,0.0
Cogen_Power_Plant,8534,0.0
Cogen_Power_Plant,8535,0.0
Cogen_Power_Plant,8536,0.0
Cogen_Power_Plant,8537,0.0
Cogen_Power_Plant,8538,0.0
Cogen_Power_Plant,8539,0.0
Cogen_Power_Plant,8540,0.0
Cogen_Power_Plant,8541,0.0
Cogen_Power_Plant,8542,0.0
Cogen_Power_Plant,8543,0.0
Cogen_Power_Plant,8544,0.0
Cogen_Power_Plant,8545,0.0
Cogen_Power_Plant,8546,0.0
Cogen_Power_Plant,8547,0.0
Cogen_Power_Plant,8548,0.0
Cogen_Power_Plant,8549,0.0
Cogen_Power_Plant,8550,0.0
Cogen_Power_Plant,8551,0.0
Cogen_Power_Plant,8552,0.0
Cogen_Power_Plant,8553,0.0
Cogen_Power_Plant,8554,0.0
Cogen_Power_Plant,8555,0.0
Cogen_Power_Plant,8556,0.0
Cogen_Power_Plant,8557,0.0
Cogen_Power_Plant,8558,0.0
Cogen_Power_Plant,8559,0.0
Cogen_Power_Plant,8560,0.0
Cogen_Power_Plant,8561,0.0
Cogen_Power_Plant,8562,0.0
Cogen_Power_Plant,8563,0.0
Cogen_Power_Plant,8564,0.0
Cogen_Power_Plant,8565,0.0
Cogen_Power_Plant,8566,0.0
Cogen_Power_Plant,8567,0.0
Cogen_Power_Plant,8568,0.0
Cogen_Power_Plant,8569,0.0
Cogen_Power_Plant,8570,0.0
Cogen_Power_Plant,8571,0.0
Cogen_Power_Plant,8572,0.0
Cogen_Power_Plant,8573,0.0
Cogen_Power_Plant,8574,0.0
Cogen_Power_Plant,8575,0.0
Cogen_Power_Plant,8576,0.0
Cogen_Power_Plant,8577,0.0
Cogen_Power_Plant,8578,0.0
Cogen_Power_Plant,8579,0.0
Cogen_Power_Plant,8580,0.0
Cogen_Power_Plant,8581,0.0
Cogen_Power_Plant,8582,0.0
Cogen_Power_Plant,8583,0.0
Cogen_Power_Plant,8584,0.0
Cogen_Power_Plant,8585,0.0
Cogen_Power_Plant,8586,0.0
Cogen_Power_Plant,8587,0.0
Cogen_Power_Plant,8588,0.0
Cogen_Power_Plant,8589,0.0
Cogen_Power_Plant,8590,0.0
Cogen_Power_Plant,8591,0.0
Cogen_Power_Plant,8592,0.0
Cogen_Power_Plant,8593,0.0
Cogen_Power_Plant,8594,0.0
Cogen_Power_Plant,8595,0.0
Cogen_Power_Plant,8596,0.0
Cogen_Power_Plant,8597,0.0
Cogen_Power_Plant,8598,0.0
Cogen_Power_Plant,8599,0.0
Cogen_Power_Plant,8600,0.0
Cogen_Power_Plant,8601,0.0
Cogen_Power_Plant,8602,0.0
Cogen_Power_Plant,8603,0.0
Cogen_Power_Plant,8604,0.0
Cogen_Power_Plant,8605,0.0
Cogen_Power_Plant,8606,0.0
Cogen_Power_Plant,8607,0.0
Cogen_Power_Plant,8608,0.0
Cogen_Power_Plant,8609,0.0
Cogen_Power_Plant,8610,0.0
Cogen_Power_Plant,8611,0.0
Cogen_Power_Plant,8612,0.0
Cogen_Power_Plant,8613,0.0
Cogen_Power_Plant,8614,0.0
Cogen_Power_Plant,8615,0.0
Cogen_Power_Plant,8616,0.0
Cogen_Power_Plant,8617,0.0
Cogen_Power_Plant,8618,0.0
Cogen_Power_Plant,8619,0.0
Cogen_Power_Plant,8620,0.0
Cogen_Power_Plant,8621,0.0
Cogen_Power_Plant,8622,0.0
Cogen_Power_Plant,8623,0.0
Cogen_Power_Plant,8624,0.0
Cogen_Power_Plant,8625,0.0
Cogen_Power_Plant,8626,0.0
Cogen_Power_Plant,8627,0.0
Cogen_Power_Plant,8628,0.0
Cogen_Power_Plant,8629,0.0
Cogen_Power_Plant,8630,0.0
Cogen_Power_Plant,8631,0.0
Cogen_Power_Plant,8632,0.0
Cogen_Power_Plant,8633,0.0
Cogen_Power_Plant,8634,0.0
Cogen_Power_Plant,8635,0.0
Cogen_Power_Plant,8636,0.0
Cogen_Power_Plant,8637,0.0
Cogen_Power_Plant,8638,0.0
Cogen_Power_Plant,8639,0.0
Cogen_Power_Plant,8640,0.0
Cogen_Power_Plant,8641,0.0
Cogen_Power_Plant,8642,0.0
Cogen_Power_Plant,8643,0.0
Cogen_Power_Plant,8644,0.0
Cogen_Power_Plant,8645,0.0
Cogen_Power_Plant,8646,0.0
Cogen_Power_Plant,8647,0.0
Cogen_Power_Plant,8648,0.0
Cogen_Power_Plant,8649,0.0
Cogen_Power_Plant,8650,0.0
Cogen_Power_Plant,8651,0.0
Cogen_Power_Plant,8652,0.0
Cogen_Power_Plant,8653,0.0
Cogen_Power_Plant,8654,0.0
Cogen_Power_Plant,8655,0.0
Cogen_Power_Plant,8656,0.0
Cogen_Power_Plant,8657,0.0
Cogen_Power_Plant,8658,0.0
Cogen_Power_Plant,8659,0.0
Cogen_Power_Plant,8660,0.0
Cogen_Power_Plant,8661,0.0
Cogen_Power_Plant,8662,0.0
Cogen_Power_Plant,8663,0.0
Cogen_Power_Plant,8664,0.0
Cogen_Power_Plant,8665,0.0
Cogen_Power_Plant,8666,0.0
Cogen_Power_Plant,8667,0.0
Cogen_Power_Plant,8668,0.0
Cogen_Power_Plant,8669,0.0
Cogen_Power_Plant,8670,0.0
Cogen_Power_Plant,8671,0.0
Cogen_Power_Plant,8672,0.0
Cogen_Power_Plant,8673,0.0
Cogen_Power_Plant,8674,0.0
Cogen_Power_Plant,8675,0.0
Cogen_Power_Plant,8676,0.0
Cogen_Power_Plant,8677,0.0
Cogen_Power_Plant,8678,0.0
Cogen_Power_Plant,8679,0.0
Cogen_Power_Plant,8680,0.0
Cogen_Power_Plant,8681,0.0
Cogen_Power_Plant,8682,0.0
Cogen_Power_Plant,8683,0.0
Cogen_Power_Plant,8684,0.0
Cogen_Power_Plant,8685,0.0
Cogen_Power_Plant,8686,0.0
Cogen_Power_Plant,8687,0.0
Cogen_Power_Plant,8688,0.0
Cogen_Power_Plant,8689,0.0
Cogen_Power_Plant,8690,0.0
Cogen_Power_Plant,8691,0.0
Cogen_Power_Plant,8692,0.0
Cogen_Power_Plant,8693,0.0
Cogen_Power_Plant,8694,0.0
Cogen_Power_Plant,8695,0.0
Cogen_Power_Plant,8696,0.0
Cogen_Power_Plant,8697,0.0
Cogen_Power_Plant,8698,0.0
Cogen_Power_Plant,8699,0.0
Cogen_Power_Plant,8700,0.0
Cogen_Power_Plant,8701,0.0
Cogen_Power_Plant,8702,0.0
Cogen_Power_Plant,8703,0.0
Cogen_Power_Plant,8704,0.0
Cogen_Power_Plant,8705,0.0
Cogen_Power_Plant,8706,0.0
Cogen_Power_Plant,8707,0.0
Cogen_Power_Plant,8708,0.0
Cogen_Power_Plant,8709,0.0
Cogen_Power_Plant,8710,0.0
Cogen_Power_Plant,8711,0.0
Cogen_Power_Plant,8712,0.0
Cogen_Power_Plant,8713,0.0
Cogen_Power_Plant,8714,0.0
Cogen_Power_Plant,8715,0.0
Cogen_Power_Plant,8716,0.0
Cogen_Power_Plant,8717,0.0
Cogen_Power_Plant,8718,0.0
Cogen_Power_Plant,8719,0.0
Cogen_Power_Plant,8720,0.0
Cogen_Power_Plant,8721,0.0
Cogen_Power_Plant,8722,0.0
Cogen_Power_Plant,8723,0.0
Cogen_Power_Plant,8724,0.0
Cogen_Power_Plant,8725,0.0
Cogen_Power_Plant,8726,0.0
Cogen_Power_Plant,8727,0.0
Cogen_Power_Plant,8728,0.0
Cogen_Power_Plant,8729,0.0
Cogen_Power_Plant,8730,0.0
Cogen_Power_Plant,8731,0.0
Cogen_Power_Plant,8732,0.0
Cogen_Power_Plant,8733,0.0
Cogen_Power_Plant,8734,0.0
Cogen_Power_Plant,8735,0.0
Cogen_Power_Plant,8736,0.0
Cogen_Power_Plant,8737,0.0
Cogen_Power_Plant,8738,0.0
Cogen_Power_Plant,8739,0.0
Cogen_Power_Plant,8740,0.0
Cogen_Power_Plant,8741,0.0
Cogen_Power_Plant,8742,0.0
Cogen_Power_Plant,8743,0.0
Cogen_Power_Plant,8744,0.0
Cogen_Power_Plant,8745,0.0
Cogen_Power_Plant,8746,0.0
Cogen_Power_Plant,8747,0.0
Cogen_Power_Plant,8748,0.0
Cogen_Power_Plant,8749,0.0
Cogen_Power_Plant,8750,0.0
Cogen_Power_Plant,8751,0.0
Cogen_Power_Plant,8752,0.0
Cogen_Power_Plant,8753,0.0
Cogen_Power_Plant,8754,0.0
Cogen_Power_Plant,8755,0.0
Cogen_Power_Plant,8756,0.0
Cogen_Power_Plant,8757,0.0
Cogen_Power_Plant,8758,0.0
Cogen_Power_Plant,8759,0.0
Cogen_Power_Plant,8760,0.0
Cogen_Power_Plant,8761,0.0
Cogen_Power_Plant,8762,0.0
Cogen_Power_Plant,8763,0.0
Cogen_Power_Plant,8764,0.0
Cogen_Power_Plant,8765,0.0
Cogen_Power_Plant,8766,0.0
Cogen_Power_Plant,8767,0.0
Cogen_Power_Plant,8768,0.0
Cogen_Power_Plant,8769,0.0
Cogen_Power_Plant,8770,0.0
Cogen_Power_Plant,8771,0.0
Cogen_Power_Plant,8772,0.0
Cogen_Power_Plant,8773,0.0
Cogen_Power_Plant,8774,0.0
Cogen_Power_Plant,8775,0.0
Cogen_Power_Plant,8776,0.0
Cogen_Power_Plant,8777,0.0
Cogen_Power_Plant,8778,0.0
Cogen_Power_Plant,8779,0.0
Cogen_Power_Plant,8780,0.0
Cogen_Power_Plant,8781,0.0
Cogen_Power_Plant,8782,0.0
Cogen_Power_Plant,8783,0.0
Cogen_Power_Plant,8784,0.0
Cogen_Power_Plant,8785,0.0
Cogen_Power_Plant,8786,0.0
Cogen_Power_Plant,8787,0.0
Cogen_Power_Plant,8788,0.0
Cogen_Power_Plant,8789,0.0
Cogen_Power_Plant,8790,0.0
Cogen_Power_Plant,8791,0.0
Cogen_Power_Plant,8792,0.0
Cogen_Power_Plant,8793,0.0
Cogen_Power_Plant,8794,0.0
