GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
Cogen_Power_Plant,8229,NaturalGas,0.0
Cogen_Power_Plant,8230,NaturalGas,0.0
Cogen_Power_Plant,8231,NaturalGas,0.0
Cogen_Power_Plant,8232,NaturalGas,0.0
Cogen_Power_Plant,8233,NaturalGas,0.0
Cogen_Power_Plant,8234,NaturalGas,0.0
Cogen_Power_Plant,8235,NaturalGas,0.0
Cogen_Power_Plant,8236,NaturalGas,0.0
Cogen_Power_Plant,8237,NaturalGas,0.0
Cogen_Power_Plant,8238,NaturalGas,0.0
Cogen_Power_Plant,8239,NaturalGas,0.0
Cogen_Power_Plant,8240,NaturalGas,0.0
Cogen_Power_Plant,8241,NaturalGas,0.0
Cogen_Power_Plant,8242,NaturalGas,0.0
Cogen_Power_Plant,8243,NaturalGas,0.0
Cogen_Power_Plant,8244,NaturalGas,0.0
Cogen_Power_Plant,8245,NaturalGas,0.0
Cogen_Power_Plant,8246,NaturalGas,0.0
Cogen_Power_Plant,8247,NaturalGas,0.0
Cogen_Power_Plant,8248,NaturalGas,0.0
Cogen_Power_Plant,8249,NaturalGas,0.0
Cogen_Power_Plant,8250,NaturalGas,0.0
Cogen_Power_Plant,8251,NaturalGas,0.0
Cogen_Power_Plant,8252,NaturalGas,0.0
Cogen_Power_Plant,8253,NaturalGas,0.0
Cogen_Power_Plant,8254,NaturalGas,0.0
Cogen_Power_Plant,8255,NaturalGas,0.0
Cogen_Power_Plant,8256,NaturalGas,0.0
Cogen_Power_Plant,8257,NaturalGas,0.0
Cogen_Power_Plant,8258,NaturalGas,0.0
Cogen_Power_Plant,8259,NaturalGas,0.0
Cogen_Power_Plant,8260,NaturalGas,0.0
Cogen_Power_Plant,8261,NaturalGas,0.0
Cogen_Power_Plant,8262,NaturalGas,0.0
Cogen_Power_Plant,8263,NaturalGas,0.0
Cogen_Power_Plant,8264,NaturalGas,0.0
Cogen_Power_Plant,8265,NaturalGas,0.0
Cogen_Power_Plant,8266,NaturalGas,0.0
Cogen_Power_Plant,8267,NaturalGas,0.0
Cogen_Power_Plant,8268,NaturalGas,0.0
Cogen_Power_Plant,8269,NaturalGas,0.0
Cogen_Power_Plant,8270,NaturalGas,0.0
Cogen_Power_Plant,8271,NaturalGas,0.0
Cogen_Power_Plant,8272,NaturalGas,0.0
Cogen_Power_Plant,8273,NaturalGas,0.0
Cogen_Power_Plant,8274,NaturalGas,0.0
Cogen_Power_Plant,8275,NaturalGas,0.0
Cogen_Power_Plant,8276,NaturalGas,0.0
Cogen_Power_Plant,8277,NaturalGas,0.0
Cogen_Power_Plant,8278,NaturalGas,0.0
Cogen_Power_Plant,8279,NaturalGas,0.0
Cogen_Power_Plant,8280,NaturalGas,0.0
Cogen_Power_Plant,8281,NaturalGas,0.0
Cogen_Power_Plant,8282,NaturalGas,0.0
Cogen_Power_Plant,8283,NaturalGas,0.0
Cogen_Power_Plant,8284,NaturalGas,0.0
Cogen_Power_Plant,8285,NaturalGas,0.0
Cogen_Power_Plant,8286,NaturalGas,0.0
Cogen_Power_Plant,8287,NaturalGas,0.0
Cogen_Power_Plant,8288,NaturalGas,0.0
Cogen_Power_Plant,8289,NaturalGas,0.0
Cogen_Power_Plant,8290,NaturalGas,0.0
Cogen_Power_Plant,8291,NaturalGas,0.0
Cogen_Power_Plant,8292,NaturalGas,0.0
Cogen_Power_Plant,8293,NaturalGas,0.0
Cogen_Power_Plant,8294,NaturalGas,0.0
Cogen_Power_Plant,8295,NaturalGas,0.0
Cogen_Power_Plant,8296,NaturalGas,0.0
Cogen_Power_Plant,8297,NaturalGas,0.0
Cogen_Power_Plant,8298,NaturalGas,0.0
Cogen_Power_Plant,8299,NaturalGas,0.0
Cogen_Power_Plant,8300,NaturalGas,0.0
Cogen_Power_Plant,8301,NaturalGas,0.0
Cogen_Power_Plant,8302,NaturalGas,0.0
Cogen_Power_Plant,8303,NaturalGas,0.0
Cogen_Power_Plant,8304,NaturalGas,0.0
Cogen_Power_Plant,8305,NaturalGas,0.0
Cogen_Power_Plant,8306,NaturalGas,0.0
Cogen_Power_Plant,8307,NaturalGas,0.0
Cogen_Power_Plant,8308,NaturalGas,0.0
Cogen_Power_Plant,8309,NaturalGas,0.0
Cogen_Power_Plant,8310,NaturalGas,0.0
Cogen_Power_Plant,8311,NaturalGas,0.0
Cogen_Power_Plant,8312,NaturalGas,0.0
Cogen_Power_Plant,8313,NaturalGas,0.0
Cogen_Power_Plant,8314,NaturalGas,0.0
Cogen_Power_Plant,8315,NaturalGas,0.0
Cogen_Power_Plant,8316,NaturalGas,0.0
Cogen_Power_Plant,8317,NaturalGas,0.0
Cogen_Power_Plant,8318,NaturalGas,0.0
Cogen_Power_Plant,8319,NaturalGas,0.0
Cogen_Power_Plant,8320,NaturalGas,0.0
Cogen_Power_Plant,8321,NaturalGas,0.0
Cogen_Power_Plant,8322,NaturalGas,0.0
Cogen_Power_Plant,8323,NaturalGas,0.0
Cogen_Power_Plant,8324,NaturalGas,0.0
Cogen_Power_Plant,8325,NaturalGas,0.0
Cogen_Power_Plant,8326,NaturalGas,0.0
Cogen_Power_Plant,8327,NaturalGas,0.0
Cogen_Power_Plant,8328,NaturalGas,0.0
Cogen_Power_Plant,8329,NaturalGas,0.0
Cogen_Power_Plant,8330,NaturalGas,0.0
Cogen_Power_Plant,8331,NaturalGas,0.0
Cogen_Power_Plant,8332,NaturalGas,0.0
Cogen_Power_Plant,8333,NaturalGas,0.0
Cogen_Power_Plant,8334,NaturalGas,0.0
Cogen_Power_Plant,8335,NaturalGas,0.0
Cogen_Power_Plant,8336,NaturalGas,0.0
Cogen_Power_Plant,8337,NaturalGas,0.0
Cogen_Power_Plant,8338,NaturalGas,0.0
Cogen_Power_Plant,8339,NaturalGas,0.0
Cogen_Power_Plant,8340,NaturalGas,0.0
Cogen_Power_Plant,8341,NaturalGas,0.0
Cogen_Power_Plant,8342,NaturalGas,0.0
Cogen_Power_Plant,8343,NaturalGas,0.0
Cogen_Power_Plant,8344,NaturalGas,0.0
Cogen_Power_Plant,8345,NaturalGas,0.0
Cogen_Power_Plant,8346,NaturalGas,0.0
Cogen_Power_Plant,8347,NaturalGas,0.0
Cogen_Power_Plant,8348,NaturalGas,0.0
Cogen_Power_Plant,8349,NaturalGas,0.0
Cogen_Power_Plant,8350,NaturalGas,0.0
Cogen_Power_Plant,8351,NaturalGas,0.0
Cogen_Power_Plant,8352,NaturalGas,0.0
Cogen_Power_Plant,8353,NaturalGas,0.0
Cogen_Power_Plant,8354,NaturalGas,0.0
Cogen_Power_Plant,8355,NaturalGas,0.0
Cogen_Power_Plant,8356,NaturalGas,0.0
Cogen_Power_Plant,8357,NaturalGas,0.0
Cogen_Power_Plant,8358,NaturalGas,0.0
Cogen_Power_Plant,8359,NaturalGas,0.0
Cogen_Power_Plant,8360,NaturalGas,0.0
Cogen_Power_Plant,8361,NaturalGas,0.0
Cogen_Power_Plant,8362,NaturalGas,0.0
Cogen_Power_Plant,8363,NaturalGas,0.0
Cogen_Power_Plant,8364,NaturalGas,0.0
Cogen_Power_Plant,8365,NaturalGas,0.0
Cogen_Power_Plant,8366,NaturalGas,0.0
Cogen_Power_Plant,8367,NaturalGas,0.0
Cogen_Power_Plant,8368,NaturalGas,0.0
Cogen_Power_Plant,8369,NaturalGas,0.0
Cogen_Power_Plant,8370,NaturalGas,0.0
Cogen_Power_Plant,8371,NaturalGas,0.0
Cogen_Power_Plant,8372,NaturalGas,0.0
Cogen_Power_Plant,8373,NaturalGas,0.0
Cogen_Power_Plant,8374,NaturalGas,0.0
Cogen_Power_Plant,8375,NaturalGas,0.0
Cogen_Power_Plant,8376,NaturalGas,0.0
Cogen_Power_Plant,8377,NaturalGas,0.0
Cogen_Power_Plant,8378,NaturalGas,0.0
Cogen_Power_Plant,8379,NaturalGas,0.0
Cogen_Power_Plant,8380,NaturalGas,0.0
Cogen_Power_Plant,8381,NaturalGas,0.0
Cogen_Power_Plant,8382,NaturalGas,0.0
Cogen_Power_Plant,8383,NaturalGas,0.0
Cogen_Power_Plant,8384,NaturalGas,0.0
Cogen_Power_Plant,8385,NaturalGas,0.0
Cogen_Power_Plant,8386,NaturalGas,0.0
Cogen_Power_Plant,8387,NaturalGas,0.0
Cogen_Power_Plant,8388,NaturalGas,0.0
Cogen_Power_Plant,8389,NaturalGas,0.0
