YearMonth,year,time,TotalEbill,EnergyCharge,NonEnergyCharge,AmortizedCost,DemandCharges,EmissionsCosts,PPACost,FuelCost,CogenPPACost,TotalCredit
202309,2023,2023-09-01,1841154.619876039,809113.0625682814,731168.2239744244,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202310,2023,2023-10-01,1871761.6188402975,826245.7759939431,744642.5095130211,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202311,2023,2023-11-01,1829334.0176500299,807953.6365586182,720507.0477580784,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202312,2023,2023-12-01,1716532.4911321925,748097.6914063602,667561.4663924989,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202401,2024,2024-01-01,1934150.5307753256,829060.6967778135,804216.5006641789,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202402,2024,2024-02-01,1824208.3964241215,770210.8374091147,753124.2256816734,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202403,2024,2024-03-01,1627551.5943398008,674819.268517828,651858.9924886397,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202404,2024,2024-04-01,1944693.237401746,826610.6949372236,817209.209131189,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202405,2024,2024-05-01,1941011.4416597874,830835.9291650802,809302.1791613739,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202406,2024,2024-06-01,1914450.885661525,827199.419963613,786378.1323645787,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202407,2024,2024-07-01,1947215.6977071222,847945.1841627673,798397.1802110217,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202408,2024,2024-08-01,1812474.653782775,778376.0006597314,733225.3197897101,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202409,2024,2024-09-01,1880418.050482166,814455.7874693061,765088.9296795266,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202410,2024,2024-10-01,1912200.1445990975,832140.1815312352,779186.6297345292,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202411,2024,2024-11-01,1865333.1038444487,810529.4444086935,753930.326102422,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202412,2024,2024-12-01,1750296.233687951,750891.5992354426,698531.3011191752,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202501,2025,2025-01-01,1860576.5254839777,737448.245291973,759781.6135253379,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202502,2025,2025-02-01,1866070.8484112548,735536.8868918172,767187.2948527707,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202503,2025,2025-03-01,1788142.4799105944,702463.5047909103,722332.3084530174,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202504,2025,2025-04-01,1999580.4536227863,798101.1305522008,838132.6564039188,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202505,2025,2025-05-01,2016788.0070524814,812407.6814762936,841033.658909521,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202506,2025,2025-06-01,2026167.648762514,826962.4204017075,835858.5616941398,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
