MonthlyPeakPurchasedPower_index_1,MonthlyPeakPurchasedPower_index_2,MonthlyPeakPurchasedPower
2020,203104,0.0
2020,203105,0.0
2020,203106,0.0
2020,203107,0.0
2020,203108,0.0
2020,203109,0.0
2020,203110,0.0
2020,203111,0.0
2020,203112,0.0
2020,203201,0.0
2020,203202,0.0
2020,203203,0.0
2020,203204,0.0
2020,203205,0.0
2020,203206,0.0
2020,203207,0.0
2020,203208,0.0
2020,203209,0.0
2020,203210,0.0
2020,203211,0.0
2020,203212,0.0
2020,203301,0.0
2020,203302,0.0
2020,203303,0.0
2020,203304,0.0
2020,203305,0.0
2020,203306,0.0
2020,203307,0.0
2020,203308,0.0
2020,203309,0.0
2020,203310,0.0
2020,203311,0.0
2020,203312,0.0
2020,203401,0.0
2020,203402,0.0
2020,203403,0.0
2020,203404,0.0
2020,203405,0.0
2020,203406,0.0
2020,203407,0.0
2020,203408,0.0
2020,203409,0.0
2020,203410,0.0
2020,203411,0.0
2020,203412,0.0
2020,203501,0.0
2020,203502,0.0
2020,203503,0.0
2020,203504,0.0
2020,203505,0.0
2020,203506,0.0
2020,203507,0.0
2020,203508,0.0
2020,203509,0.0
2020,203510,0.0
2020,203511,0.0
2020,203512,0.0
2020,203601,0.0
2020,203602,0.0
2020,203603,0.0
2020,203604,0.0
2020,203605,0.0
2020,203606,0.0
2020,203607,0.0
2020,203608,0.0
2020,203609,0.0
2020,203610,0.0
2020,203611,0.0
2020,203612,0.0
2020,203701,0.0
2020,203702,0.0
2020,203703,0.0
2020,203704,0.0
2020,203705,0.0
2020,203706,0.0
2020,203707,0.0
2020,203708,0.0
2020,203709,0.0
2020,203710,0.0
2020,203711,0.0
2020,203712,0.0
2020,203801,0.0
2020,203802,0.0
2020,203803,0.0
2020,203804,0.0
2020,203805,0.0
2020,203806,0.0
2020,203807,0.0
2020,203808,0.0
2020,203809,0.0
2020,203810,0.0
2020,203811,0.0
2020,203812,0.0
2020,203901,0.0
2020,203902,0.0
2020,203903,0.0
2020,203904,0.0
2020,203905,0.0
2020,203906,0.0
2020,203907,0.0
2020,203908,0.0
2020,203909,0.0
2020,203910,0.0
2020,203911,0.0
2020,203912,0.0
2025,202001,0.0
2025,202002,0.0
2025,202003,0.0
2025,202004,0.0
2025,202005,0.0
2025,202006,0.0
2025,202007,0.0
2025,202008,0.0
2025,202009,0.0
2025,202010,0.0
2025,202011,0.0
2025,202012,0.0
2025,202101,0.0
2025,202102,0.0
2025,202103,0.0
2025,202104,0.0
2025,202105,0.0
2025,202106,0.0
2025,202107,0.0
2025,202108,0.0
2025,202109,0.0
2025,202110,0.0
2025,202111,0.0
2025,202112,0.0
2025,202201,0.0
2025,202202,0.0
2025,202203,0.0
2025,202204,0.0
2025,202205,0.0
2025,202206,0.0
2025,202207,0.0
2025,202208,0.0
2025,202209,0.0
2025,202210,0.0
2025,202211,0.0
2025,202212,0.0
2025,202301,0.0
2025,202302,0.0
2025,202303,0.0
2025,202304,0.0
2025,202305,0.0
2025,202306,0.0
2025,202307,0.0
2025,202308,0.0
2025,202309,0.0
2025,202310,0.0
2025,202311,0.0
2025,202312,0.0
2025,202401,0.0
2025,202402,0.0
2025,202403,0.0
2025,202404,0.0
2025,202405,0.0
2025,202406,0.0
2025,202407,0.0
2025,202408,0.0
2025,202409,0.0
2025,202410,0.0
2025,202411,0.0
2025,202412,0.0
2025,202501,17.324292
2025,202502,17.4805062
2025,202503,17.30376885
2025,202504,18.304351200000003
2025,202505,18.1590435
2025,202506,17.196298199999998
2025,202507,18.268079999999998
2025,202508,19.51584
2025,202509,20.0942871
2025,202510,19.5084819
2025,202511,19.30634535
2025,202512,19.516631399999998
2025,202601,17.324292
2025,202602,16.022328899999998
2025,202603,12.9113142
2025,202604,17.7264423
2025,202605,17.238869849999997
2025,202606,16.547279999999997
2025,202607,16.862304599999998
2025,202608,13.8146457
2025,202609,14.6736
2025,202610,14.90256
2025,202611,14.748055500000001
2025,202612,12.950799
2025,202701,17.324292
2025,202702,16.022328899999998
2025,202703,12.9113142
2025,202704,17.7264423
2025,202705,17.238869849999997
2025,202706,16.547279999999997
2025,202707,16.862304599999998
2025,202708,13.8146457
2025,202709,14.6736
2025,202710,14.90256
2025,202711,14.748055500000001
2025,202712,12.950799
2025,202801,17.324292
2025,202802,16.022328899999998
2025,202803,12.9113142
2025,202804,17.7264423
2025,202805,17.238869849999997
2025,202806,16.547279999999997
2025,202807,16.862304599999998
2025,202808,13.8146457
2025,202809,14.6736
2025,202810,14.90256
2025,202811,14.748055500000001
2025,202812,12.950799
2025,202901,17.324292
2025,202902,16.022328899999998
2025,202903,12.9113142
2025,202904,17.7264423
2025,202905,17.238869849999997
2025,202906,16.547279999999997
2025,202907,16.862304599999998
2025,202908,13.8146457
2025,202909,14.6736
2025,202910,14.90256
2025,202911,14.748055500000001
2025,202912,12.950799
2025,203001,0.0
2025,203002,0.0
2025,203003,0.0
2025,203004,0.0
2025,203005,0.0
2025,203006,0.0
2025,203007,0.0
2025,203008,0.0
2025,203009,0.0
2025,203010,0.0
2025,203011,0.0
2025,203012,0.0
2025,203101,0.0
