TIMEPOINTS_1,PurchasePower
799,9.5967723
800,9.432817499999999
801,9.3667827
802,9.463617
803,9.605091300000002
804,9.62499345
805,9.5239356
806,9.57878475
807,9.5695539
808,9.672718049999999
809,9.6779622
810,9.66949095
811,9.6883797
812,9.70574985
813,9.82104
814,9.854159999999998
815,9.99312
816,10.001759999999999
817,10.049999999999999
818,10.15728
819,10.176
820,10.154399999999999
821,10.266
822,10.26816
823,10.22064
824,10.20768
825,10.434479999999999
826,10.33607805
827,10.4119161
828,10.35198435
829,10.3042926
830,10.46194545
831,10.5339183
832,10.488150899999999
833,10.3927035
834,10.35511845
835,10.3931334
836,10.48153245
837,10.4662515
838,10.445642399999999
839,10.5294333
840,10.63272225
841,10.774891199999999
842,10.77143424
843,10.83997725
844,10.75230861
845,10.78344
846,10.76976
847,10.81152
848,10.7856
849,10.76832
850,10.77336
851,10.6488
852,10.64808
853,10.61208
854,10.38456
855,10.2096
856,10.21752
857,10.23696
858,10.21824
859,10.11888
860,10.0584
861,9.95472
862,9.9648
863,9.87552
864,9.81432
865,9.61776
866,9.25704
867,9.2304
868,9.0
869,9.002880000000003
870,8.92512
871,8.94888
872,8.879760000000003
873,8.7984
874,8.82432
875,8.794080000000001
876,8.727839999999999
877,8.70336
878,8.70768
879,8.5608
880,8.51472
881,8.54928
882,8.56944
883,8.64072
884,8.7372
885,8.78616
886,9.40464
887,9.97992
888,10.21248
889,10.4724
890,11.14128
891,11.56392
892,11.64936318
893,11.723286360000001
894,11.73834153
895,11.9729967
896,12.160462500000001
897,12.4602483
898,12.7514538
899,13.1477793
900,13.53916605
901,13.8650328
902,14.24736675
903,14.3150607
904,14.38290675
905,14.5097928
906,14.5410585
907,14.624884199999999
908,14.6292021
909,14.462159999999999
910,14.675401950000001
911,14.931123900000001
912,15.004879950000001
913,15.076476000000001
914,15.0068805
915,15.049604999999998
916,14.99962185
917,14.9798787
918,14.881784999999999
919,14.900331300000001
920,14.9313489
921,15.081886499999998
922,15.05736825
923,15.310769999999998
924,15.17322975
925,15.1595295
926,15.0237885
927,14.8974075
928,14.7807678
929,14.7462081
930,14.572066950000002
931,14.3842458
932,14.067406500000002
933,13.916167199999999
934,13.5053106
935,13.283814000000001
936,13.22417682
937,13.28261967
938,13.321268790000001
939,13.123757880000001
940,13.14339894
941,13.15584
942,12.96864
943,12.76416
944,12.66984
945,12.54816
946,12.33144
947,12.08808
948,11.97
949,11.8332
950,11.58048
951,11.53728
952,11.35944
953,11.22192
954,10.84752
955,10.62648
